Protein,Label,log2FC,SE,Tvalue,DF,pvalue,adj.pvalue,issue,MissingPercentage,ImputationPercentage
A0A087S9L8,III_3-I_3,-0.470398444638541,0.129005970441936,-3.64633080955166,7,0.00821780201560052,0.0174628292831511,NA,0.0833333333333334,0.0833333333333333
A0A087S9L8,LZ5-I_3,-0.533300483643613,0.159159386300436,-3.35073221906582,7,0.0122384917540523,0.0275366064466178,NA,0.318181818181818,0.136363636363636
A0A087S9L8,LZ5-III_3,-0.0629020390050715,0.159159386300436,-0.395214133876685,7,0.704451780249042,0.77049413464739,NA,0.409090909090909,0.227272727272727
A0A087S9N3;E1ZCL3,III_3-I_3,0.316274119030446,0.188183151877782,1.68067181293602,9,0.127126846008394,0.187926641925452,NA,0.416666666666667,0.416666666666667
A0A087S9N3;E1ZCL3,LZ5-I_3,0.653783782683894,0.200578261261668,3.25949471578573,9,0.00984668997910099,0.0230390376181394,NA,0.272727272727273,0.272727272727273
A0A087S9N3;E1ZCL3,LZ5-III_3,0.337509663653448,0.200578261261668,1.68268316581499,9,0.126728704042983,0.158410880053728,NA,0.363636363636364,0.363636363636364
A0A087S9W3;E1ZGZ4;E1ZFV0;A0A087S9X0,III_3-I_3,1.06403417315164,0.154701332808026,6.87798969690866,6,0.000465799836844027,0.00186319934737611,NA,0.277777777777778,0.277777777777778
A0A087S9W3;E1ZGZ4;E1ZFV0;A0A087S9X0,LZ5-I_3,0.108818572726288,0.232377504719823,0.468283592499586,6,0.656109795327495,0.72676777328584,NA,0.454545454545455,0.181818181818182
A0A087S9W3;E1ZGZ4;E1ZFV0;A0A087S9X0,LZ5-III_3,-0.955215600425351,0.232377504719823,-4.11061992242774,6,0.00628198940175961,0.0151634226939025,NA,0.636363636363636,0.363636363636364
A0A087SBA5,III_3-I_3,-0.462644465580135,0.151283819540045,-3.05812258698077,9,0.0136128848159358,0.025018274796855,NA,0,0
A0A087SBA5,LZ5-I_3,-0.446867264172692,0.159945295517611,-2.79387563558248,9,0.0209209290260386,0.0443031438198464,NA,0,0
A0A087SBA5,LZ5-III_3,0.0157772014074427,0.159945295517611,0.0986412345319998,9,0.9235851847058,0.950749454844205,NA,0,0
