Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides I_3_01	Peptides I_3_02	Peptides I_3_03	Peptides I_3_04	Peptides I_3_05	Peptides I_3_06	Peptides III_3_01	Peptides III_3_02	Peptides III_3_03	Peptides III_3_04	Peptides III_3_05	Peptides III_3_06	Peptides LZ5_01	Peptides LZ5_02	Peptides LZ5_04	Peptides LZ5_05	Peptides LZ5_06	Razor + unique peptides I_3_01	Razor + unique peptides I_3_02	Razor + unique peptides I_3_03	Razor + unique peptides I_3_04	Razor + unique peptides I_3_05	Razor + unique peptides I_3_06	Razor + unique peptides III_3_01	Razor + unique peptides III_3_02	Razor + unique peptides III_3_03	Razor + unique peptides III_3_04	Razor + unique peptides III_3_05	Razor + unique peptides III_3_06	Razor + unique peptides LZ5_01	Razor + unique peptides LZ5_02	Razor + unique peptides LZ5_04	Razor + unique peptides LZ5_05	Razor + unique peptides LZ5_06	Unique peptides I_3_01	Unique peptides I_3_02	Unique peptides I_3_03	Unique peptides I_3_04	Unique peptides I_3_05	Unique peptides I_3_06	Unique peptides III_3_01	Unique peptides III_3_02	Unique peptides III_3_03	Unique peptides III_3_04	Unique peptides III_3_05	Unique peptides III_3_06	Unique peptides LZ5_01	Unique peptides LZ5_02	Unique peptides LZ5_04	Unique peptides LZ5_05	Unique peptides LZ5_06	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Fraction average	Fraction 1	Q-value	Score	Identification type I_3_01	Identification type I_3_02	Identification type I_3_03	Identification type I_3_04	Identification type I_3_05	Identification type I_3_06	Identification type III_3_01	Identification type III_3_02	Identification type III_3_03	Identification type III_3_04	Identification type III_3_05	Identification type III_3_06	Identification type LZ5_01	Identification type LZ5_02	Identification type LZ5_04	Identification type LZ5_05	Identification type LZ5_06	Sequence coverage I_3_01 [%]	Sequence coverage I_3_02 [%]	Sequence coverage I_3_03 [%]	Sequence coverage I_3_04 [%]	Sequence coverage I_3_05 [%]	Sequence coverage I_3_06 [%]	Sequence coverage III_3_01 [%]	Sequence coverage III_3_02 [%]	Sequence coverage III_3_03 [%]	Sequence coverage III_3_04 [%]	Sequence coverage III_3_05 [%]	Sequence coverage III_3_06 [%]	Sequence coverage LZ5_01 [%]	Sequence coverage LZ5_02 [%]	Sequence coverage LZ5_04 [%]	Sequence coverage LZ5_05 [%]	Sequence coverage LZ5_06 [%]	Intensity	Intensity I_3_01	Intensity I_3_02	Intensity I_3_03	Intensity I_3_04	Intensity I_3_05	Intensity I_3_06	Intensity III_3_01	Intensity III_3_02	Intensity III_3_03	Intensity III_3_04	Intensity III_3_05	Intensity III_3_06	Intensity LZ5_01	Intensity LZ5_02	Intensity LZ5_04	Intensity LZ5_05	Intensity LZ5_06	LFQ intensity I_3_01	LFQ intensity I_3_02	LFQ intensity I_3_03	LFQ intensity I_3_04	LFQ intensity I_3_05	LFQ intensity I_3_06	LFQ intensity III_3_01	LFQ intensity III_3_02	LFQ intensity III_3_03	LFQ intensity III_3_04	LFQ intensity III_3_05	LFQ intensity III_3_06	LFQ intensity LZ5_01	LFQ intensity LZ5_02	LFQ intensity LZ5_04	LFQ intensity LZ5_05	LFQ intensity LZ5_06	MS/MS Count I_3_01	MS/MS Count I_3_02	MS/MS Count I_3_03	MS/MS Count I_3_04	MS/MS Count I_3_05	MS/MS Count I_3_06	MS/MS Count III_3_01	MS/MS Count III_3_02	MS/MS Count III_3_03	MS/MS Count III_3_04	MS/MS Count III_3_05	MS/MS Count III_3_06	MS/MS Count LZ5_01	MS/MS Count LZ5_02	MS/MS Count LZ5_04	MS/MS Count LZ5_05	MS/MS Count LZ5_06	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0A087S9H4	A0A087S9H4	1	1	1		1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	1	1	1.4	1.4	1.4	66.489	634	634	1	13	0.0085837	5.9603	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching				By matching		By MS/MS	By matching	By matching	By MS/MS	By matching	1.4	1.4	1.4	1.4	1.4	1.4	1.4	0	0	0	1.4	0	1.4	1.4	1.4	1.4	1.4	1914700	238360	173750	182060	156440	113040	68779	67074	0	0	0	56740	0	220520	138790	144650	130070	224390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330320	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3				0	399	True	404	4196;4197;4198;4199;4200;4201;4202;4203;4204;4205;4206;4207;4208	2791;2792;2793	2792		
A0A087S9L8	A0A087S9L8	2	2	2		1	2	2	2	2	1	1	2	2	2	2	2	2	2	2	2	0	1	1	1	0	2	1	1	2	2	2	2	2	2	2	2	2	0	1	1	1	0	2	1	1	2	2	2	2	2	2	2	2	2	0	1	1	1	0	3.7	3.7	3.7	64.025	595	595	1	25	0	15.97	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching		By matching	By MS/MS	By matching		3.7	1.8	1.8	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	0	1.8	1.8	1.8	0	11694000	3172400	229460	311110	1583800	1251200	705130	982390	701400	406840	678170	773080	419700	0	166650	202900	109730	0	2346200	0	0	1959400	2092400	1982300	1894500	1777100	1992400	1888400	1888000	1893900	0	0	0	0	0	1	0	1	1	0	1	1	0	3	1	1	0	0	0	1	0	0	11				1	189;359	True;True	194;364	1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;3720;3721;3722;3723;3724;3725;3726;3727;3728;3729	1343;1344;1345;2457;2458;2459;2460;2461;2462;2463;2464	1343;2457		
A0A087S9N3;E1ZCL3	A0A087S9N3;E1ZCL3	3;2	3;2	3;2	;	2	3	3	3	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	3	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	3	1	1	1	1	1	1	1	1	1	1	2	1	2	2	2	1	3	1	14	14	14	18.389	164	164;142	1	23	0	51.791	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	6.7	13.4	6.7	13.4	13.4	13.4	6.7	14	6.7	8740500	592650	290660	302800	731330	321830	361940	416170	447920	131930	471980	436240	346170	1019200	330480	692900	729120	1117200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1552400	0	1	1	1	1	1	1	1	1	2	2	1	1	2	1	1	2	2	22				2	140;348;426	True;True;True	144;353;431	1479;1480;1481;1482;1483;3621;4473;4474;4475;4476;4477;4478;4479;4480;4481;4482;4483;4484;4485;4486;4487;4488;4489	1041;2388;2973;2974;2975;2976;2977;2978;2979;2980;2981;2982;2983;2984;2985;2986;2987;2988;2989;2990;2991;2992;2993	1041;2388;2988		
A0A087S9T6	A0A087S9T6	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	2.4	2.4	2.4	81.003	702	702	1	13	0	7.4633	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By MS/MS					By matching	By MS/MS	By matching	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	2.4	0	0	0	0	2.4	2.4	2.4	20529000	1265800	1027700	959280	1764200	1284300	748470	1016700	935670	339040	724690	0	0	0	0	4132100	1994200	4336600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6383700	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	4				3	271	True	276	2964;2965;2966;2967;2968;2969;2970;2971;2972;2973;2974;2975;2976	2000;2001;2002;2003	2003		
A0A087S9W3;E1ZGZ4;E1ZFV0;A0A087S9X0	A0A087S9W3;E1ZGZ4;E1ZFV0;A0A087S9X0	3;3;3;3	3;3;3;3	3;3;3;3	;;;	4	3	3	3	2	2	2	2	1	1	3	3	2	3	3	2	1	0	1	0	0	2	2	2	2	1	1	3	3	2	3	3	2	1	0	1	0	0	2	2	2	2	1	1	3	3	2	3	3	2	1	0	1	0	0	35	35	35	11.136	100	100;103;103;103	1	28	0	19.126	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching		By MS/MS			23	23	23	23	11	11	35	35	23	35	35	23	12	0	12	0	0	3989100	476240	330050	320130	219990	150730	154970	511460	357610	287660	338630	297240	239540	73288	0	231590	0	0	0	0	0	0	0	0	1064900	716350	1185400	0	726330	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	1	0	0	6				4	76;353;421	True;True;True	80;358;426	751;752;753;754;755;756;757;758;759;760;761;3659;3660;3661;3662;3663;3664;3665;3666;3667;3668;3669;3670;4422;4423;4424;4425;4426	504;505;506;2427;2943;2944	505;2427;2944		
A0A087SAK4;E1Z691	A0A087SAK4;E1Z691	3;3	3;3	2;2	;	2	3	3	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	1	3	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	2	4	4	2.4	90.057	830	830;881	1	33	0	43.492	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	2.8	1.6	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	2.8	1.6	4	13534000	1340100	635100	814330	861310	542560	347850	1134200	914010	662470	844540	846930	515140	510790	285570	369410	256920	2652700	1488400	0	1118200	1354700	932120	936160	2823900	2773300	2671200	2879800	2459100	1957300	613250	695000	601470	0	716160	2	1	2	2	2	1	2	2	1	2	2	1	1	1	1	0	2	25				5	1;326;388	True;True;True	1;331;393	15;3423;3424;3425;3426;3427;3428;3429;3430;3431;3432;3433;3434;3435;3436;3437;3438;3439;4062;4063;4064;4065;4066;4067;4068;4069;4070;4071;4072;4073;4074;4075;4076	10;2279;2280;2281;2282;2283;2284;2285;2286;2287;2288;2289;2290;2291;2292;2293;2294;2653;2654;2655;2656;2657;2658;2659;2660	10;2283;2657		
A0A087SAQ1	A0A087SAQ1	1	1	1		1	1	1	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	4.2	4.2	4.2	33.934	311	311	1	7	0	7.031	By matching	By matching	By MS/MS			By matching			By matching		By matching						By MS/MS	4.2	4.2	4.2	0	0	4.2	0	0	4.2	0	4.2	0	0	0	0	0	4.2	701430	123560	95064	140110	0	0	66593	0	0	34531	0	96329	0	0	0	0	0	145240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	213800	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2				6	30	True	31	312;313;314;315;316;317;318	218;219	218		
A0A087SAU5	A0A087SAU5	1	1	1		1	1	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	9.8	9.8	9.8	20	184	184	1	3	0	6.9462	By matching		By MS/MS		By matching													9.8	0	9.8	0	9.8	0	0	0	0	0	0	0	0	0	0	0	0	720350	422070	0	126030	0	172260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	308100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				7	14	True	14	128;129;130	93	93		
A0A087SAX6	A0A087SAX6	1	1	1		1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2.2	2.2	2.2	58.753	542	542	1	2	1	-2													By MS/MS				By matching	0	0	0	0	0	0	0	0	0	0	0	0	2.2	0	0	0	2.2	276830	0	0	0	0	0	0	0	0	0	0	0	0	163510	0	0	0	113330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	166830	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	+			8	300	True	305	3231;3232	2161	2161	0	1
A0A087SAX8	A0A087SAX8	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	4.3	4.3	4.3	23.316	208	208	1	15	0	10.157	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching			By MS/MS	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	4.3	0	0	4.3	3107900	331280	237690	266510	260020	204140	89232	79277	107630	42255	81564	96697	81747	562250	206320	0	0	461250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678990	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2				9	423	True	428	4428;4429;4430;4431;4432;4433;4434;4435;4436;4437;4438;4439;4440;4441;4442	2946;2947	2947		
